,cuis,drugbankID,drugname,indication
0,C0035258,DB05271,rotigotine,Restless legs
1,C0030567,DB05271,rotigotine,Parkinson's disease
2,C0401160,DB00904,ondansetron,Chemotherapy-induced nausea and vomiting
3,C0040259,DB01153,sertaconazole,Tinea pedis
4,C0024117,DB12086,oxitropium,Chronic obstructive lung disease
5,C0008677,DB13239,neltenexine,Chronic bronchitis
6,C0043037,DB00724,imiquimod,Verruca
7,C0009663,DB00724,imiquimod,Condyloma acuminatum
8,C0862889,DB00724,imiquimod,Superficial basal cell carcinoma
9,C0022602,DB00724,imiquimod,Actinic keratosis
10,C0338873,DB00313,valproic acid,"Bipolar affective disorder, current episode manic"
11,C2711653,DB00313,valproic acid,Epilepsy characterized by intractable complex partial seizures
12,C0014544,DB00313,valproic acid,Epilepsy
13,C0014553,DB00313,valproic acid,Absence seizure
14,C0472476,DB00892,oxybuprocaine,Topical local anesthetic to eye
15,C0023443,DB00105,interferon alfa-2b,Hairy cell leukemia
16,C0025202,DB00105,interferon alfa-2b,Malignant melanoma
17,C0024301,DB00105,interferon alfa-2b,Follicular lymphoma
18,C0009663,DB00105,interferon alfa-2b,Condyloma acuminatum
19,C0276535,DB00105,interferon alfa-2b,Kaposi's sarcoma associated with AIDS
20,C0524910,DB00105,interferon alfa-2b,Chronic hepatitis C
21,C0524909,DB00105,interferon alfa-2b,Chronic type B viral hepatitis
22,C1739363,DB01216,finasteride,Benign prostatic hyperplasia
23,C0033975,DB13841,clopenthixol,Psychotic disorder
24,C0577708,DB00978,lomefloxacin,Escherichia coli urinary tract infection
25,C0856695,DB00978,lomefloxacin,Acute exacerbation of chronic bronchitis
26,C0042029,DB00978,lomefloxacin,Urinary tract infectious disease
27,C0006277,DB00978,lomefloxacin,Bronchitis
28,C4076057,DB00978,lomefloxacin,Urinary tract infection caused by Klebsiella
29,C0339933,DB00978,lomefloxacin,Acute bacterial bronchitis
30,C0149725,DB00978,lomefloxacin,Lower respiratory tract infection
31,C0520775,DB00978,lomefloxacin,Klebsiella cystitis
32,C0264716,DB00492,fosinopril,Chronic heart failure
33,C0020538,DB00492,fosinopril,Hypertensive disorder
34,C0275959,DB00339,pyrazinamide,Acute tuberculosis
35,C0041327,DB00339,pyrazinamide,Pulmonary tuberculosis
36,C0041318,DB00339,pyrazinamide,Tuberculosis of meninges
37,C0001144,DB02701,nicotinamide,Acne vulgaris
38,C0030783,DB02701,nicotinamide,Pellagra
39,C0030783,DB02701,nicotinamide,Niacin deficiency
40,C0271578,DB13956,estradiol valerate,Female hypogonadism syndrome
41,C0600142,DB13956,estradiol valerate,Menopausal flushing
42,C0271606,DB13956,estradiol valerate,Primary ovarian failure
43,C0700589,DB13956,estradiol valerate,Contraception
44,C1282500,DB00762,irinotecan,Metastasis from malignant tumor of colon
45,C0346976,DB00762,irinotecan,Secondary malignant neoplasm of pancreas
46,C0281361,DB00762,irinotecan,Adenocarcinoma of pancreas
47,C0040425,DB01415,ceftibuten,Tonsillitis
48,C0271429,DB01415,ceftibuten,Acute otitis media
49,C0729586,DB01415,ceftibuten,Infective otitis media
50,C0339933,DB01415,ceftibuten,Acute bacterial bronchitis
51,C0275804,DB01415,ceftibuten,Streptococcal tonsillitis
52,C0554628,DB01415,ceftibuten,Streptococcus pyogenes infection
53,C0011860,DB00197,troglitazone,Diabetes mellitus type 2
54,C0014549,DB00273,topiramate,Tonic-clonic epilepsy
55,C2711653,DB00273,topiramate,Epilepsy characterized by intractable complex partial seizures
56,C0238111,DB00273,topiramate,Lennox-Gastaut syndrome
57,C0234974,DB00273,topiramate,Simple partial seizure
58,C0042571,DB01231,diphenidol,Vertigo
59,C0001973,DB00822,disulfiram,Alcoholism
60,C0033774,DB11100,allantoin,Itching of skin
61,C0423775,DB11100,allantoin,Pityriasis simplex
62,C0152030,DB11100,allantoin,Skin irritation
63,C0036508,DB11100,allantoin,Seborrheic dermatitis
64,C0033860,DB11100,allantoin,Psoriasis
65,C0002438,DB13268,acetarsol,Amebic infection
66,C0017605,DB11396,dichlorophen,Angle-closure glaucoma
67,C0017612,DB11396,dichlorophen,Open-angle glaucoma
68,C0149893,DB11396,dichlorophen,Secondary glaucoma
69,C1269683,DB08918,levomilnacipran,Major depressive disorder
70,C0028754,DB01083,orlistat,Obesity
71,C3163805,DB00894,testolactone,Carcinoma of female breast
72,C0011860,DB00414,acetohexamide,Diabetes mellitus type 2
73,C0276075,DB00760,meropenem,Infection due to Pseudomonas aeruginosa
74,C1632842,DB00760,meropenem,Complicated appendicitis
75,C0025294,DB00760,meropenem,Meningococcal meningitis
76,C0031154,DB00760,meropenem,Peritonitis
77,C0085437,DB00760,meropenem,Bacterial meningitis
78,C0025295,DB00760,meropenem,Pneumococcal meningitis
79,C0154639,DB00760,meropenem,Streptococcal meningitis
80,C1112209,DB00760,meropenem,Infectious disease of abdomen
81,C0243001,DB00760,meropenem,Abdominal abscess
82,C0198813,DB00961,mepivacaine,"Local anesthesia, by infiltration"
83,C0002921,DB00961,mepivacaine,Local anesthesia
84,C0358514,DB08946,iopanoic acid,Diagnostic aid
85,C0524910,DB12225,beclabuvir,Chronic hepatitis C
86,C0007117,DB09143,sonidegib,Basal cell carcinoma of skin
87,C0002962,DB00243,ranolazine,Angina pectoris
88,C0376358,DB11901,apalutamide,Malignant tumor of prostate
89,C0032743,DB09149,Florbetapir F-18,Positron emission tomography
90,C0020473,DB11634,colestilan,Hyperlipidemia
91,C0085681,DB11634,colestilan,Hyperphosphatemia
92,C0024535,DB01117,atovaquone,Falciparum malaria
93,C0032305,DB01117,atovaquone,Pneumocystosis jiroveci pneumonia
94,C0007131,DB00441,gemcitabine,Non-small cell lung cancer
95,C0281361,DB00441,gemcitabine,Adenocarcinoma of pancreas
