DBID,CUIs
DB07768,C0000729
DB07768,C0000737
DB07768,C0232492
DB07768,C0740651
DB07768,C0234458
DB07768,C0702166
DB07768,C0240671
DB07768,C0948089
DB07768,C0233472
DB07768,C0525045
DB07768,C0162820
DB07768,C0002170
DB07768,C0002453
DB07768,C0002871
DB07768,C0002792
DB07768,C0340865
DB07768,C0162311
DB07768,C0002994
DB07768,C0042373
DB07768,C0003621
DB07768,C0003862
DB07768,C0151904
DB07768,C0004093
DB07768,C0004096
DB07768,C0333641
DB07768,C0004509
DB07768,C0575090
DB07768,C1704272
DB07768,C0311468
DB07768,C0595877
DB07768,C0277890
DB07768,C0438241
DB07768,C0006145
DB07768,C2225524
DB07768,C0262397
DB07768,C0085129
DB07768,C0006277
DB07768,C0006434
DB07768,C0018799
DB07768,C0018801
DB07768,C0007785
DB07768,C0038454
DB07768,C0241832
DB07768,C0235710
DB07768,C0008031
DB07768,C0232292
DB07768,C0085593
DB07768,C0005778
DB07768,C0338656
DB07768,C0009676
DB07768,C0009782
DB07768,C1956346
DB07768,C0151814
DB07768,C0151578
DB07768,C0010709
DB07768,C0149871
DB07768,C0011603
DB07768,C0234894
DB07768,C0011849
DB07768,C0011991
DB07768,C0012569
DB07768,C0234215
DB07768,C0043352
DB07768,C1527344
DB07768,C0013595
DB07768,C0013922
DB07768,C0014130
DB07768,C1167709
DB07768,C0041834
DB07768,C0015397
DB07768,C0235267
DB07768,C0015672
DB07768,C1443060
DB07768,C0268000
DB07768,C0151662
DB07768,C0017178
DB07768,C0017181
DB07768,C0151603
DB07768,C0239735
DB07768,C0277986
DB07768,C0239739
DB07768,C0017572
DB07768,C0235324
DB07768,C0017574
DB07768,C0271650
DB07768,C0018418
DB07768,C0239935
DB07768,C0018965
DB07768,C0518015
DB07768,C0349705
DB07768,C0474378
DB07768,C0151689
DB07768,C0232409
DB07768,C0018681
DB07768,C0023903
DB07768,C0019572
DB07768,C0020039
DB07768,C0600142
DB07768,C0020453
DB07768,C0424295
DB07768,C0020473
DB07768,C0020502
DB07768,C0020517
DB07768,C0020538
DB07768,C0235750
DB07768,C0020578
DB07768,C0151934
DB07768,C0020615
DB07768,C2047937
DB07768,C0021053
DB07768,C0919568
DB07768,C0021167
DB07768,C0232461
DB07768,C0851341
DB07768,C0021368
DB07768,C0542008
DB07768,C0521498
DB07768,C0151828
DB07768,C0917801
DB07768,C0234708
DB07768,C0022107
DB07768,C0022354
DB07768,C0151746
DB07768,C0438215
DB07768,C0423153
DB07768,C0152227
DB07768,C0549373
DB07768,C2973529
DB07768,C0023531
DB07768,C0267028
DB07768,C0267033
DB07768,C0549634
DB07768,C0041657
DB07768,C0231218
DB07768,C0033949
DB07768,C0162429
DB07768,C0025061
DB07768,C0236075
DB07768,C0004936
DB07768,C0149931
DB07768,C0085633
DB07768,C0235339
DB07768,C0948594
DB07768,C0026858
DB07768,C0027424
DB07768,C0475765
DB07768,C0027441
DB07768,C0027497
DB07768,C0027651
DB07768,C0033578
