drugbank_id,drugbank_name,umls_cui_from_meddra,side_effect_name
DB01048,Abacavir,C0232492,Abdominal pain upper
DB01048,Abacavir,C0234458,Abnormal dreams
DB01048,Abacavir,C0948089,Acute coronary syndrome
DB01048,Abacavir,C0035222,Acute respiratory distress syndrome
DB01048,Abacavir,C0002170,Alopecia
DB01048,Abacavir,C0002871,Anaemia
DB01048,Abacavir,C0034902,Aplasia pure red cell
DB01048,Abacavir,C0002874,Aplastic anaemia
DB01048,Abacavir,C1971624,Appetite absent
DB01048,Abacavir,C0151904,Aspartate aminotransferase increased
DB01048,Abacavir,C0311468,Blood bilirubin increased
DB01048,Abacavir,C0018939,Blood disorder
DB01048,Abacavir,C2225524,Breast enlargement
DB01048,Abacavir,C0006277,Bronchitis
DB01048,Abacavir,C0085593,Chills
DB01048,Abacavir,C0009763,Conjunctivitis
DB01048,Abacavir,C0009782,Connective tissue disorder
DB01048,Abacavir,C0151578,Creatinine increased
DB01048,Abacavir,C0344315,Depressed mood
DB01048,Abacavir,C0013182,Drug hypersensitivity
DB01048,Abacavir,C0013415,Dysthymic disorder
DB01048,Abacavir,C0014742,Erythema multiforme
DB01048,Abacavir,C0856151,Fat redistribution
DB01048,Abacavir,C0151662,Gamma-glutamyltransferase increased
DB01048,Abacavir,C0017152,Gastritis
DB01048,Abacavir,C2711227,Hepatic steatosis
DB01048,Abacavir,C0019158,Hepatitis
DB01048,Abacavir,C0221773,Hyperamylasaemia
DB01048,Abacavir,C0020456,Hyperglycaemia
DB01048,Abacavir,C0795692,Hyperlactacidaemia
DB01048,Abacavir,C0020565,Hypertrophy of breast
DB01048,Abacavir,C2047937,Ill-defined disorder
DB01048,Abacavir,C0021053,Immune system disorder
DB01048,Abacavir,C0021368,Inflammation
DB01048,Abacavir,C0021655,Insulin resistance
DB01048,Abacavir,C0023530,Leukopenia
DB01048,Abacavir,C0497156,Lymphadenopathy
DB01048,Abacavir,C0024312,Lymphopenia
DB01048,Abacavir,C0231218,Malaise
DB01048,Abacavir,C0162429,Malnutrition
DB01048,Abacavir,C0149931,Migraine
DB01048,Abacavir,C0026858,Musculoskeletal pain
DB01048,Abacavir,C0031117,Neuropathy peripheral
DB01048,Abacavir,C0029118,Opportunistic infection
DB01048,Abacavir,C2363730,Oropharyngeal discomfort
DB01048,Abacavir,C0030305,Pancreatitis
DB01048,Abacavir,C0035078,Renal failure
DB01048,Abacavir,C0035243,Respiratory tract infection
DB01048,Abacavir,C0035410,Rhabdomyolysis
DB01048,Abacavir,C1325847,Sensitisation
DB01048,Abacavir,C0038325,Stevens-Johnson syndrome
DB01048,Abacavir,C0038362,Stomatitis
DB01048,Abacavir,C0242429,Throat sore
DB01048,Abacavir,C0042571,Vertigo
DB01048,Abacavir,C0043144,Wheezing
DB00659,Acamprosate,C0234458,Abnormal dreams
DB00659,Acamprosate,C0948089,Acute coronary syndrome
DB00659,Acamprosate,C0001973,Alcoholism
DB00659,Acamprosate,C0002170,Alopecia
DB00659,Acamprosate,C0002418,Amblyopia
DB00659,Acamprosate,C0002871,Anaemia
DB00659,Acamprosate,C0002994,Angioedema
DB00659,Acamprosate,C0085632,Apathy
DB00659,Acamprosate,C0003962,Ascites
DB00659,Acamprosate,C0151904,Aspartate aminotransferase increased
DB00659,Acamprosate,C0004096,Asthma
DB00659,Acamprosate,C0376286,Avitaminosis
DB00659,Acamprosate,C0852911,Blood alkaline phosphatase increased
DB00659,Acamprosate,C0006145,Breast disorder
DB00659,Acamprosate,C0006277,Bronchitis
DB00659,Acamprosate,C0022650,Calculus of kidney
DB00659,Acamprosate,C0018801,Cardiac failure
DB00659,Acamprosate,C0878544,Cardiomyopathy
DB00659,Acamprosate,C0085593,Chills
DB00659,Acamprosate,C0008325,Cholecystitis
DB00659,Acamprosate,C0151578,Creatinine increased
DB00659,Acamprosate,C0011606,Dermatitis exfoliative
DB00659,Acamprosate,C0011849,Diabetes mellitus
DB00659,Acamprosate,C0012569,Diplopia
DB00659,Acamprosate,C0013295,Duodenal ulcer
DB00659,Acamprosate,C0013491,Ecchymosis
DB00659,Acamprosate,C0013595,Eczema
DB00659,Acamprosate,C0392025,Enlargement abdomen
DB00659,Acamprosate,C0014457,Eosinophilia
DB00659,Acamprosate,C0014591,Epistaxis
DB00659,Acamprosate,C0542571,Face oedema
DB00659,Acamprosate,C0233471,Flat affect
DB00659,Acamprosate,C0016204,Flatulence
DB00659,Acamprosate,C0016658,Fracture
DB00659,Acamprosate,C0038358,Gastric ulcer
DB00659,Acamprosate,C0017152,Gastritis
DB00659,Acamprosate,C0017181,Gastrointestinal haemorrhage
DB00659,Acamprosate,C0018021,Goitre
DB00659,Acamprosate,C0018099,Gout
DB00659,Acamprosate,C0018926,Haematemesis
DB00659,Acamprosate,C0018965,Haematuria
DB00659,Acamprosate,C0518015,Haemoglobin
DB00659,Acamprosate,C0018524,Hallucination
DB00659,Acamprosate,C0019158,Hepatitis
DB00659,Acamprosate,C0019270,Hernia
DB00659,Acamprosate,C0020039,Hostility
DB00659,Acamprosate,C0020456,Hyperglycaemia
DB00659,Acamprosate,C0424295,Hyperkinesia
DB00659,Acamprosate,C0740394,Hyperuricaemia
DB00659,Acamprosate,C0020580,Hypoaesthesia
DB00659,Acamprosate,C2047937,Ill-defined disorder
DB00659,Acamprosate,C0021053,Immune system disorder
DB00659,Acamprosate,C0232461,Increased appetite
DB00659,Acamprosate,C0023066,Laryngospasm
DB00659,Acamprosate,C0023530,Leukopenia
DB00659,Acamprosate,C0041657,Loss of consciousness
DB00659,Acamprosate,C0497156,Lymphadenopathy
DB00659,Acamprosate,C0231218,Malaise
DB00659,Acamprosate,C0162429,Malnutrition
DB00659,Acamprosate,C0338831,Mania
